speaker,total_duration
đa-nang_0326603,919.1040000000003
đa-nang_3520428,917.7919999999999
khanh-hoa_3521975,917.6491249999997
thua-thien---hue_3540791,916.1992500000002
quang-nam_3508877,915.4198750000004
khanh-hoa_0975762,912.6549999999997
đa-nang_3574668,912.0960000000001
quang-ngai_3502399,911.424125
khanh-hoa_0351260,910.2400000000004
khanh-hoa_0327097,907.3704999999993
ninh-thuan_3551614,907.0877500000004
ha-tinh_3501438,905.8560000000002
khanh-hoa_3532680,905.2849999999999
khanh-hoa_3513523,904.3917500000002
quang-nam_3526550,903.4513749999999
ha-tinh_0364150,903.0052499999998
ha-tinh_0952413,901.9823749999996
đa-nang_3587479,901.6946249999995
khanh-hoa_0334287,901.3120000000001
khanh-hoa_3503793,899.1471250000003
quang-nam_3508673,898.8160000000007
khanh-hoa_3562327,898.4959999999995
khanh-hoa_0959410,898.3706249999997
ha-tinh_3573603,897.4477500000002
quang-nam_3539322,895.9465
thua-thien---hue_0020340,895.2386249999997
khanh-hoa_3540780,894.5384999999999
khanh-hoa_3569873,894.1906250000003
khanh-hoa_0318859,894.0227500000004
đa-nang_3512022,893.9833749999995
khanh-hoa_3591432,892.9528749999997
ha-tinh_3645082,892.3839999999999
khanh-hoa_0938354,891.7746250000001
khanh-hoa_3530821,891.7057500000002
khanh-hoa_0304180,890.6504999999996
khanh-hoa_3576213,890.617125
quang-binh_0320922,890.3040000000002
khanh-hoa_0378154,888.9512499999994
quang-nam_3583378,888.6079999999998
quang-nam_0336588,888.4852499999997
đa-nang_0303066,888.16
khanh-hoa_0365800,887.7106249999998
quang-nam_3528614,887.3263749999999
khanh-hoa_3571962,887.2866249999998
ninh-thuan_0314201,887.2
khanh-hoa_3505277,886.7746249999998
khanh-hoa_0921773,886.7274999999998
quang-nam_0351134,885.9106250000006
đa-nang_0020096,885.4080000000002
quang-nam_3504517,885.0689999999993
đa-nang_3523458,885.014375
khanh-hoa_0319002,884.6091249999997
khanh-hoa_3566169,884.4836249999996
khanh-hoa_3631862,883.8932499999995
khanh-hoa_0333742,883.77325
khanh-hoa_3585973,882.4905
khanh-hoa_3503271,882.4546249999996
quang-nam_3621026,881.2692499999996
khanh-hoa_3629446,880.5652499999998
ninh-thuan_0321790,880.427875
khanh-hoa_0357764,879.9158749999995
thua-thien---hue_3506409,879.7440000000004
quang-nam_3649838,878.9782500000007
quang-nam_0356018,878.2797499999999
ha-tinh_3591749,878.2719999999996
quang-nam_3518566,878.0479999999999
khanh-hoa_3580183,877.6648750000004
thua-thien---hue_3549349,877.5338750000002
quang-nam_3507121,877.3439999999996
khanh-hoa_3574825,877.3275000000001
khanh-hoa_3639479,877.3172499999997
khanh-hoa_3528757,876.77025
khanh-hoa_0372925,876.483375
đa-nang_0336096,876.3200000000005
khanh-hoa_0360939,875.9586250000003
đa-nang_3543165,873.8651250000001
khanh-hoa_0327838,873.5206250000003
khanh-hoa_0328667,873.2152500000003
binh-thuan_0371182,872.9917500000009
đa-nang_0355782,872.7217499999999
khanh-hoa_3506650,872.6623749999995
quang-ngai_0020595,872.2229999999994
quang-nam_3522370,872.1211249999998
quang-nam_3579639,871.9680000000003
quang-ngai_3562749,870.0248749999998
ha-tinh_0321834,869.98125
quang-nam_3523303,869.8879999999998
ha-tinh_3560727,869.26925
binh-đinh_3576759,869.1840000000001
khanh-hoa_0985924,868.6383750000003
khanh-hoa_0328005,868.2626250000002
khanh-hoa_0356248,868.1732500000002
đa-nang_0373987,867.7128750000002
quang-nam_0318384,867.6824999999998
đa-nang_0976468,867.5812499999998
khanh-hoa_0320509,866.624
quang-nam_3542717,866.3009999999999
quang-ngai_3620179,866.28775
ha-tinh_0333143,866.0786249999996
quang-binh_3529515,865.7652499999998
khanh-hoa_3550554,864.4516250000001
khanh-hoa_3503794,863.9272499999995
khanh-hoa_0372699,863.783875
quang-binh_3613920,863.08525
khanh-hoa_3512391,862.3586250000001
khanh-hoa_3560888,861.5564999999997
