speaker,total_duration
hau-giang_0357697,842.4000000000001
ben-tre_3578041,842.0977500000002
đong-nai_3647332,841.6877499999999
an-giang_3503234,840.923625
soc-trang_0995863,840.3048750000003
an-giang_0369718,840.2239999999994
ho-chi-minh_3559626,840.10125
soc-trang_3644290,839.9771250000001
can-tho_0364465,839.2319999999999
ho-chi-minh_3648752,839.1663750000001
ho-chi-minh_3513362,838.886625
can-tho_0950576,837.6960000000006
ho-chi-minh_3501249,837.5346250000006
ho-chi-minh_3644107,837.3736249999998
ho-chi-minh_3645351,836.8546250000002
ho-chi-minh_0333647,836.590625
long-an_3565934,836.5306249999998
ho-chi-minh_3645818,836.0959999999997
can-tho_3560653,835.4996249999999
ho-chi-minh_0360316,835.1131250000003
an-giang_0330407,835.08525
ho-chi-minh_0310721,834.9172500000005
ho-chi-minh_3647814,834.8941249999998
ho-chi-minh_3647108,834.8886249999999
can-tho_3630895,834.5465000000002
can-tho_0378644,834.2985000000004
an-giang_3632567,833.1840000000001
ho-chi-minh_3541995,833.1702499999998
ho-chi-minh_3648014,832.9192499999996
ben-tre_3587334,831.8400000000003
ho-chi-minh_3622538,831.136
can-tho_3526468,830.6932500000001
ho-chi-minh_3508710,830.6880000000001
ho-chi-minh_3637732,830.4320000000004
ho-chi-minh_3648151,830.3892500000002
an-giang_0324719,830.0648749999998
can-tho_3502218,829.9157500000002
ho-chi-minh_3631894,829.2996249999995
ho-chi-minh_3542880,829.0998750000001
can-tho_0300992,829.0786250000002
hau-giang_3638746,828.7679999999998
ho-chi-minh_0359497,828.5597499999998
vinh-long_3535136,828.5062499999997
ho-chi-minh_0948054,828.4800000000002
long-an_3612025,828.3581250000002
ho-chi-minh_3636975,828.2647500000004
đong-nai_3645156,827.2319999999997
ho-chi-minh_0342917,827.1999999999996
long-an_3648115,826.3485
ho-chi-minh_3600443,825.4861250000002
ho-chi-minh_0349248,825.4425000000001
hau-giang_3543605,825.2160000000006
hau-giang_0364101,824.2866249999997
ho-chi-minh_0368793,823.6566250000005
ho-chi-minh_3624343,823.6479999999998
ho-chi-minh_3567052,823.4786250000004
đong-nai_3646865,823.1270000000001
đong-nai_3591245,823.0618750000002
hau-giang_0300300,822.9798749999997
can-tho_0324774,822.3931249999995
ho-chi-minh_3645777,822.2344999999996
vinh-long_0312149,822.176
ho-chi-minh_3648456,821.8066249999996
ho-chi-minh_0364911,821.7826249999998
can-tho_0314888,821.4399999999994
an-giang_0377986,821.3119999999998
ho-chi-minh_0943711,821.2159999999996
ho-chi-minh_3545390,820.84925
ho-chi-minh_0365805,820.7144999999996
an-giang_3549967,820.6506249999998
vinh-long_0997249,819.6692499999998
soc-trang_0335359,819.5754999999996
can-tho_0954550,819.4560000000001
ho-chi-minh_3650443,818.982625
an-giang_3562578,818.14875
vinh-long_3549832,817.4452499999999
ho-chi-minh_3632008,816.5238749999995
ho-chi-minh_3522483,815.9489999999996
can-tho_0330571,815.6291249999999
ho-chi-minh_3563688,814.1892500000001
long-an_3645405,813.9238749999995
ho-chi-minh_0310720,813.8243749999998
can-tho_3514838,813.6025000000006
ben-tre_3624579,812.8319999999994
an-giang_3544007,812.32
an-giang_0950365,812.2240000000005
ho-chi-minh_3521224,811.7906249999993
ho-chi-minh_0363519,811.5010000000001
vinh-long_3645154,810.72
ho-chi-minh_3619189,810.3039999999997
ben-tre_3650271,809.8879999999998
ho-chi-minh_0351477,809.0941249999998
an-giang_3620245,808.9812499999999
an-giang_0310658,808.3834999999997
can-tho_0998975,808.0058750000001
soc-trang_3577042,807.2171249999999
vinh-long_3645155,807.0491250000005
ho-chi-minh_3529547,806.6052499999996
an-giang_0358507,806.3679999999999
an-giang_3534870,806.3089999999999
vinh-long_3517470,806.2091249999995
soc-trang_0321133,805.438625
ho-chi-minh_3629330,805.1716249999998
ho-chi-minh_3582591,804.8959999999995
an-giang_3517347,804.3944999999998
ho-chi-minh_3504003,803.8278749999998
long-an_3590211,803.8079999999998
ho-chi-minh_0963099,803.5857499999997
ho-chi-minh_0306454,802.8479999999997
ho-chi-minh_3646265,802.846125
ho-chi-minh_3548934,802.4118749999998
ho-chi-minh_0981475,802.4038749999999
đong-nai_0320171,802.2080000000002
vinh-long_3567315,801.5117500000001
đong-nai_0365969,801.2706250000006
ho-chi-minh_3648658,801.1986249999999
ho-chi-minh_3612027,800.8154999999999
ho-chi-minh_3548734,800.7999999999998
vinh-long_0321360,800.5716250000004
an-giang_3503653,800.4452499999999
an-giang_3588497,800.1279999999992
ben-tre_3530015,799.9992500000001
ho-chi-minh_3596896,799.5385000000001
ho-chi-minh_3521967,799.3884999999999
vinh-long_3584656,799.0399999999998
ho-chi-minh_3541987,799.01325
an-giang_3599575,798.4721249999998
đong-nai_0371179,798.3999999999999
ho-chi-minh_3644540,797.5666250000005
long-an_0963120,797.2731250000002
vinh-long_0322904,796.4345000000003
ho-chi-minh_3526589,796.256
ben-tre_3572846,795.7906249999997
