speaker,total_duration
hung-yen_0348790,844.9919999999998
hung-yen_3532207,844.8320000000004
thai-nguyen_3592892,844.7008750000001
hai-phong_3530972,844.5439999999999
hai-phong_3598518,844.0408749999997
hung-yen_0320186,844.0306249999999
hai-phong_3560768,843.3631249999996
hai-phong_0375389,843.2386250000004
hai-phong_3519497,843.1048749999994
hai-phong_3587620,843.008375
hai-duong_3565428,842.9224999999999
quang-ninh_3648582,842.4292500000003
hai-phong_3560761,842.3666249999998
hai-phong_3515425,842.0706250000003
hai-phong_3562807,841.9840000000004
hai-duong_3574136,841.9183750000001
thai-nguyen_0326611,841.9076250000004
hai-phong_3566891,841.8264999999998
hai-phong_3526660,841.5384999999999
hung-yen_3632574,841.3439999999996
hai-phong_3529042,841.257125
quang-ninh_3651826,841.0922499999997
hai-phong_3509374,840.71725
ninh-binh_0333361,840.6918749999995
ha-nam_3502082,840.6626249999998
hung-yen_3503163,840.576
hai-phong_3566887,840.3275000000001
ha-nam_0911442,840.0356250000001
hai-phong_3558946,839.9346250000006
vinh-phuc_3593092,839.3280000000001
hai-phong_0325011,839.1106249999997
vinh-phuc_0912090,838.9492500000001
thai-nguyen_3626296,838.9131249999998
hai-phong_3639228,838.8212500000002
hai-phong_3570676,838.7199999999997
ninh-binh_3618146,838.7199999999996
hung-yen_3649680,838.5279999999999
hai-phong_3587595,838.34925
hai-duong_3529068,837.8100000000001
hai-phong_3535223,837.0916250000001
hai-duong_3635655,836.9638749999999
hai-phong_3515187,836.9600000000005
hung-yen_3580747,836.726625
ninh-binh_3552136,836.4800000000001
lang-son_3635848,836.4772499999996
ha-nam_3576528,835.6988750000003
hai-phong_3541032,834.4959999999998
lang-son_3591605,834.4319999999997
hung-yen_0919947,834.2932500000003
ha-nam_3615123,834.0566249999999
hai-phong_0367169,833.6954999999998
hai-duong_3530692,833.6386249999999
hai-phong_3554285,833.435875
hai-phong_3568482,833.4053750000006
hai-phong_3581372,833.275375
hai-phong_3584859,833.2466250000001
hai-phong_3540960,832.8546250000002
hai-phong_3645238,832.7679999999997
hai-phong_3546192,832.5266249999999
hai-phong_3554202,832.4706249999996
hai-phong_3519384,832.4425000000002
hai-duong_0930881,831.318
hai-phong_3580744,831.1558749999998
hai-phong_3562818,830.86125
hai-phong_3588447,830.7983749999996
quang-ninh_3612136,830.7840000000002
hung-yen_3609884,830.7200000000004
hai-phong_3517572,830.5595000000004
hai-phong_3545881,830.395375
hai-phong_3588631,830.2851249999997
hai-phong_3551591,830.1371250000005
hung-yen_3595087,829.9519999999995
ninh-binh_3561424,829.9007499999999
son-la_0918514,829.888
thai-nguyen_0321696,829.8171249999996
ninh-binh_3646727,829.7026249999999
hai-phong_3649657,829.2480000000004
hai-phong_3565348,828.870625
vinh-phuc_0993176,828.774625
hai-phong_0375113,828.7040000000002
hai-phong_3546203,828.6717499999999
hai-phong_3578339,828.3489999999996
hai-phong_0367782,828.2546249999999
thai-nguyen_3531267,827.9812500000006
ha-nam_3603424,827.9558749999998
hai-duong_3531503,827.84
hai-phong_3542394,827.7425000000003
hai-phong_3600895,827.7224999999997
hung-yen_3561099,827.5702499999995
ha-nam_3650422,827.2836250000001
hung-yen_3504251,826.8386249999995
vinh-phuc_0317713,826.6503749999998
hai-phong_3547670,826.5919999999999
hung-yen_3588146,826.3548749999998
hai-phong_3517114,826.2866250000003
hai-phong_3528999,826.265125
hai-phong_0936762,826.208
hai-phong_3574557,826.173625
quang-ninh_3528022,826.1426249999995
hai-phong_3533684,825.7631250000001
ha-giang_3574880,825.7300000000002
hai-duong_3559830,825.6146250000003
hai-phong_0333182,825.3357500000002
ninh-binh_0920883,824.7206249999998
quang-ninh_3548207,824.3078750000001
lao-cai_3566886,824.2491249999996
hai-phong_3644313,824.115125
ha-nam_3574955,824.0960000000002
